"dateTimeID","aussen14_1_1","aussen14_1_2","tempNum"
"T200217040000",5.5,5.5,22
"T200217050000",5.5,5,22
"T200217060000",5,4.5,22
"T200217070000",3,3,22
"T200217080000",4,3.5,22
"T200217090000",5.5,5,22
"T200217100000",9,8.5,22
"T200217110000",14,10,22
"T200217120000",11,10.5,22
"T200217130000",11,10.5,22
"T200217140000",12.5,12,22
"T200217150000",12,11.5,22
"T200217160000",11,10.5,22
"T200217170000",10,9.5,22
"T200217180000",8.5,8.5,22
"T200217190000",7.5,7.5,22
"T200217200000",7.5,7.5,22
"T200217210000",7,7,22
"T200217220000",6.5,6.5,22
"T200217230000",6.5,6.5,22
"T210217000000",6.5,6,22
"T210217010000",7,6.5,22
"T210217020000",7.5,7,22
"T210217030000",7,6.5,22
"T210217040000",7,7,22
"T210217050000",6.5,6.5,22
"T210217060000",6.5,6.5,22
"T210217070000",8,7.5,22
"T210217080000",8.5,8.5,22
"T210217090000",8.5,8,22
"T210217100000",8,8,22
"T210217110000",9.5,9,22
"T210217120000",9.5,9.5,22
"T210217130000",11.5,11,22
"T210217140000",12.5,12,22
"T210217150000",12,11.5,22
"T210217160000",12,11.5,22
"T210217170000",11.5,11,22
"T210217180000",10,9.5,22
"T210217190000",9.5,9.5,22
"T210217200000",10,9.5,22
"T210217210000",10,10,22
"T210217220000",10,10,22
"T210217230000",10,10,22
"T220217000000",10,9.5,22
"T220217010000",9.5,9,22
"T220217020000",9.5,9.5,22
"T220217030000",9.5,9,22
"T220217040000",9.5,9,22
"T220217050000",9,8.5,22
"T220217060000",8,7.5,22
"T220217070000",9,8.5,22
"T220217080000",9.5,9,22
"T220217090000",10,9.5,22
"T220217100000",13,12.5,22
"T220217110000",12.5,12,22
"T220217120000",13.5,13.5,22
"T220217130000",14.5,14,22
"T220217140000",13.5,13,22
"T220217150000",12,12,22
"T220217160000",12,11.5,22
"T220217170000",10,10,22
"T220217180000",9,9,22
"T220217190000",9,8.5,22
"T220217200000",8.5,8,22
"T220217210000",8,8,22
"T220217220000",8,7.5,22
"T220217230000",6.5,6.5,22
"T230217000000",5.5,5.5,22
"T230217010000",5,4.5,22
"T230217020000",3.5,3.5,22
"T230217030000",3,2.5,22
